Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,use,Design,There is a place for everything.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,91660343,dw,front_control,GE,GDF535PGR,GDF535PGR,,us,retail,bestbuy,,Positive,use,Easy_Use,Variety of cleaning options.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,Verified,,4.0
24-07-20,63204537,dw,front_control,BOSCH,6_series,SMU6HAS01A,ASIA,au,retail,bosch_home_au,,Neutral,use,,"Across a couple of homes, this is our 4th Bosch dishwasher in the past 25 years.","[ Gotta love a Bosch dishwasher! ] || ---------------- || Across a couple of homes, this is our 4th Bosch dishwasher in the past 25 years. They just work so well and last so long.","[ Gotta love a Bosch dishwasher! ] || ---------------- || Across a couple of homes, this is our 4th Bosch dishwasher in the past 25 years. They just work so well and last so long.",,,5.0
24-07-20,63204537,dw,front_control,BOSCH,6_series,SMU6HAS01A,ASIA,au,retail,bosch_home_au,,Positive,use,,They just work so well and last so long.,"[ Gotta love a Bosch dishwasher! ] || ---------------- || Across a couple of homes, this is our 4th Bosch dishwasher in the past 25 years. They just work so well and last so long.","[ Gotta love a Bosch dishwasher! ] || ---------------- || Across a couple of homes, this is our 4th Bosch dishwasher in the past 25 years. They just work so well and last so long.",,,5.0
24-07-20,63204533,dw,top_control,BOSCH,4_series,SPV4EMX21E,EU,es,retail,bosch_home_es,,Positive,use,,"I like the light projected on the floor, the programs are very long","[ Silent ] || ---------------- || I like the light projected on the floor, the programs are very long","[ Silencioso ] || ---------------- || Me gusta la luz proyectada en el suelo, los programas son muy largos",,,4.0
24-07-20,78978586,dw,top_control,BOSCH,4_series,SBH4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,"Very quiet, great washing results and easy to use thanks to the app.","[ Everything fine ] || ---------------- || Very quiet, great washing results and easy to use thanks to the app.","[ Alles bestens ] || ---------------- || Sehr leise, super Spülergebnis und uch dank der App super zu bedienen.",Not verified,,5.0
24-07-20,63205111,dw,top_control,BOSCH,800_series,SHEM78ZH5N,,us,retail,bosch_home_us,,Very Positive,use,Noise_Vibration,"Not only is this dishwasher the best one I have owned, I can't even tell when it's running most of the time outside of when the water is being drained.","[ The Silent Cleaner ] || ---------------- || Not only is this dishwasher the best one I have owned, I can't even tell when it's running most of the time outside of when the water is being drained. It takes out the most stubborn stains and am very happy with my purchase!","[ The Silent Cleaner ] || ---------------- || Not only is this dishwasher the best one I have owned, I can't even tell when it's running most of the time outside of when the water is being drained. It takes out the most stubborn stains and am very happy with my purchase!",,,5.0
24-07-20,63205111,dw,top_control,BOSCH,800_series,SHEM78ZH5N,,us,retail,bosch_home_us,,Positive,"purchase,use",Performance_Washing,It takes out the most stubborn stains and am very happy with my purchase!,"[ The Silent Cleaner ] || ---------------- || Not only is this dishwasher the best one I have owned, I can't even tell when it's running most of the time outside of when the water is being drained. It takes out the most stubborn stains and am very happy with my purchase!","[ The Silent Cleaner ] || ---------------- || Not only is this dishwasher the best one I have owned, I can't even tell when it's running most of the time outside of when the water is being drained. It takes out the most stubborn stains and am very happy with my purchase!",,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,"purchase,replace",Durability,I bought this to replace a 9-year-old Bosch that stopped working.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,,Delivery_Installation,I went with the top of the linw hoping it lasts longer than the builder-installed model.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,,Durability,I went with the top of the linw hoping it lasts longer than the builder-installed model.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Design,It has a great design that accommodates a lot more dishes more efficiently.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Product_Satisfaction,It has a great design that accommodates a lot more dishes more efficiently.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,use,Easy_Use,The shallow top third rack is addition.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205119,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Design,Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working. I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition. Take good use of space to put large utensils.,[ Great Fishwasher ] || ---------------- || I bought this to replace a 9-year-old Bosch that stopped working.  I went with the top of the linw hoping it lasts longer than the builder-installed model. It has a great redesign that accommodates a lot more dishes more efficiently. The shallow top third rack is addition.  Take good use of space to put large utensils.,,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,,What a dishwasher!,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Very Positive,use,Durability,Had several other brands prior to this and this benchmark series is simply the best!,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Negative,use,,It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean.,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Very Positive,use,,"Just amazing, and the water conditioner is another icing on the cake.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Performance_Drying,No complaints here with the cleaning or drying!,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Performance_Washing,No complaints here with the cleaning or drying!,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205128,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,,,If there is one feature Bosch could add is to include the ability to open the door after the drying is done.,"[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.","[ Just beyond awesome! ] || ---------------- || What a dishwasher! Had several other brands prior to this and this benchmark series is simply the best! It actually got several weeks old hard baked grime from a pan that was deemed next to impossible to clean. Just amazing, and the water conditioner is another icing on the cake. No complaints here with the cleaning or drying! If there is one feature Bosch could add is to include the ability to open the door after the drying is done.",,,5.0
24-07-20,63205132,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,purchase,Service,I have purchased many dishwashers in my lifetime and some of them have not been Bosch.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,,,5.0
24-07-20,63205132,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Very Negative,,,Every time I do that I regret it.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,,,5.0
24-07-20,63205132,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Positive,use,Service,Nothing is as good as a Bosch.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,[ When will I learn my lesson? ] || ---------------- || I have purchased many dishwashers in my lifetime and some of them have not been Bosch. Every time I do that I regret it. Nothing is as good as a Bosch.,,,5.0
24-07-20,63205130,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,,Easy_Use,Nowhere does the app or the supplied info tell what the little mojos on the doortop display indicate.,[ No manual!  ] || ---------------- || Nowhere does the app or the supplied info tell what the little mojos on the doortop display indicate. Or where to get an operating manual to read when I buy a new dish washer.,[ No manual!! ] || ---------------- || Nowhere does the app or the supplied info tell what the little mojos on the doortop display indicate. Or where to get an operating manual to read when I buy a new dish washer.,,,2.0
24-07-20,63205130,dw,top_control,BOSCH,benchmark,SHX9PCM5N,,us,retail,bosch_home_us,,Neutral,,Easy_Use,Or where to get an operating manual to read when I buy a new dish washer.,[ No manual!  ] || ---------------- || Nowhere does the app or the supplied info tell what the little mojos on the doortop display indicate. Or where to get an operating manual to read when I buy a new dish washer.,[ No manual!! ] || ---------------- || Nowhere does the app or the supplied info tell what the little mojos on the doortop display indicate. Or where to get an operating manual to read when I buy a new dish washer.,,,2.0
24-07-20,63205184,dw,top_control,BOSCH,6_series,SMP6ZCC80S,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"Mid-range dishwasher, noise level and cleaning performance is very good, various programs that can be easily optimized.","[ Good price performance result ] || ---------------- || Mid-range dishwasher, noise level and cleaning performance is very good, various programs that can be easily optimized. I am completely satisfied!","[ Gutes Preis Leistung Ergebnis ] || ---------------- || Geschirrspüler der Mittelklasse, Lautstärke und Reinigunsleistung ist sehr gut, verschiedene Programme die super zu optimieren sind. Bin voll zufrieden!",,,5.0
24-07-20,63205184,dw,top_control,BOSCH,6_series,SMP6ZCC80S,EU,es,retail,bosch_home_es,,Positive,use,Performance_Washing,"Mid-range dishwasher, noise level and cleaning performance is very good, various programs that can be easily optimized.","[ Good price performance result ] || ---------------- || Mid-range dishwasher, noise level and cleaning performance is very good, various programs that can be easily optimized. I am completely satisfied!","[ Gutes Preis Leistung Ergebnis ] || ---------------- || Geschirrspüler der Mittelklasse, Lautstärke und Reinigunsleistung ist sehr gut, verschiedene Programme die super zu optimieren sind. Bin voll zufrieden!",,,5.0
24-07-20,63205184,dw,top_control,BOSCH,6_series,SMP6ZCC80S,EU,es,retail,bosch_home_es,,Positive,use,,I am completely satisfied!,"[ Good price performance result ] || ---------------- || Mid-range dishwasher, noise level and cleaning performance is very good, various programs that can be easily optimized. I am completely satisfied!","[ Gutes Preis Leistung Ergebnis ] || ---------------- || Geschirrspüler der Mittelklasse, Lautstärke und Reinigunsleistung ist sehr gut, verschiedene Programme die super zu optimieren sind. Bin voll zufrieden!",,,5.0
24-07-20,63205408,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Positive,use,Design,"I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise.","[ Economical and efficient. ] || ---------------- || I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise. As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray. Even so, this dishwasher is a success and fits our needs.","[ Económico y eficiente. ] || ---------------- || Llevo un año con él y aunque siempre utilizo el mismo programa destacaría su diseño, ahorro energético y que no hace nada de ruido. Cómo punto negativo aunque es regulable la zona para los vasos se queda todo muy limitado si los vasos son un poco altos debido a la bandeja de los cubiertos. Aún así es todo un acierto este lavavajillas y se ajusta a nuestras necesidades.",,,5.0
24-07-20,63205408,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise.","[ Economical and efficient. ] || ---------------- || I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise. As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray. Even so, this dishwasher is a success and fits our needs.","[ Económico y eficiente. ] || ---------------- || Llevo un año con él y aunque siempre utilizo el mismo programa destacaría su diseño, ahorro energético y que no hace nada de ruido. Cómo punto negativo aunque es regulable la zona para los vasos se queda todo muy limitado si los vasos son un poco altos debido a la bandeja de los cubiertos. Aún así es todo un acierto este lavavajillas y se ajusta a nuestras necesidades.",,,5.0
24-07-20,63205408,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Positive,use,Product_Satisfaction,"I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise.","[ Economical and efficient. ] || ---------------- || I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise. As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray. Even so, this dishwasher is a success and fits our needs.","[ Económico y eficiente. ] || ---------------- || Llevo un año con él y aunque siempre utilizo el mismo programa destacaría su diseño, ahorro energético y que no hace nada de ruido. Cómo punto negativo aunque es regulable la zona para los vasos se queda todo muy limitado si los vasos son un poco altos debido a la bandeja de los cubiertos. Aún así es todo un acierto este lavavajillas y se ajusta a nuestras necesidades.",,,5.0
24-07-20,63205408,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Negative,use,Easy_Use,"As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray.","[ Economical and efficient. ] || ---------------- || I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise. As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray. Even so, this dishwasher is a success and fits our needs.","[ Económico y eficiente. ] || ---------------- || Llevo un año con él y aunque siempre utilizo el mismo programa destacaría su diseño, ahorro energético y que no hace nada de ruido. Cómo punto negativo aunque es regulable la zona para los vasos se queda todo muy limitado si los vasos son un poco altos debido a la bandeja de los cubiertos. Aún así es todo un acierto este lavavajillas y se ajusta a nuestras necesidades.",,,5.0
24-07-20,63205408,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Positive,use,Design,"Even so, this dishwasher is a success and fits our needs.","[ Economical and efficient. ] || ---------------- || I've been using it for a year and although I always use the same program, I would highlight its design, energy savings and that it doesn't make any noise. As a negative point, although the area for the glasses is adjustable, everything is very limited if the glasses are a little high due to the cutlery tray. Even so, this dishwasher is a success and fits our needs.","[ Económico y eficiente. ] || ---------------- || Llevo un año con él y aunque siempre utilizo el mismo programa destacaría su diseño, ahorro energético y que no hace nada de ruido. Cómo punto negativo aunque es regulable la zona para los vasos se queda todo muy limitado si los vasos son un poco altos debido a la bandeja de los cubiertos. Aún así es todo un acierto este lavavajillas y se ajusta a nuestras necesidades.",,,5.0
24-07-20,63205419,dw,front_control,BOSCH,4_series,SMS4EMI06E,EU,es,retail,bosch_home_es,,Positive,use,Design,"A roomy, quiet, economical (water, energy) cutlery drawer is a brilliant idea.","[ Salvation in everyday life ] || ---------------- || A roomy, quiet, economical (water, energy) cutlery drawer is a brilliant idea. Perfect for a family of 4 (activated once every day), great option of opening the door (I don't wait to walk), intuitive panel, extra application","[ Wybawienie w codzienności ] || ---------------- || Pojemna, cichutka,  ekonomiczna ( woda,energia) szuflada na sztućce to genialna sprawa. Idealna dla 4osobowej rodziny ( uruchamiana 1x każdego dnia) świetna opcja uchylania drzwi ( nie czekam ze spacerem ) panel intuicyjny,  aplikacja extra",,,5.0
