Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-02-21,68633239,dw,top_control,GE,GDT650SMVES_GDT650SYVFS,GDT650SMVES_GDT650SYVFS,,us,retail,geappliances,,Positive,use,,The jet spray and steam clean is great!,[ Great features and QUIET ] || ---------------- || Quiet and Quick. LOVE it! The jet spray and steam clean is great!,[ Great features and QUIET ] || ---------------- || Quiet and Quick... LOVE it! The jet spray and steam clean is great!,Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,I love how quiet this dishwasher is!,"[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Easy_Use,And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up.,"[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Easy_Use,I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up.,"[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Neutral,use,Easy_Use,And how I can load dishes into the front half of the bottom level without bending to pull it out.,"[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Design,"Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946625,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Performance_Washing,"Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!","[ Super quiet and cleans to perfection! ] || ---------------- || [This review was collected as part of a promotion.] I love how quiet this dishwasher is! And I like the third level because it saves me from bending down to put the silverware in the bottom level basket -- at least until the third level fills up. I love how I can reverse the position of the bottom silverware basket after the half closer to me fills up. And how I can load dishes into the front half of the bottom level without bending to pull it out. Most important, this dishwasher is gorgeous stainless steel and cleans my dishes perfectly!",Not verified,,5.0
25-02-21,79946623,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Neutral,use,Durability,had this dishwasher for only a couple of weeks.,[ Good Buy! ] || ---------------- || had this dishwasher for only a couple of weeks. so much better than the contractor special that was here.so quiet! ,[ Good Buy! ] || ---------------- || [This review was collected as part of a promotion.] had this dishwasher for only a couple of weeks.  so much better than the contractor special that was here.so quiet!!!,Not verified,,5.0
25-02-21,79946623,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,,Delivery_Installation,so much better than the contractor special that was here.,[ Good Buy! ] || ---------------- || had this dishwasher for only a couple of weeks. so much better than the contractor special that was here.so quiet! ,[ Good Buy! ] || ---------------- || [This review was collected as part of a promotion.] had this dishwasher for only a couple of weeks.  so much better than the contractor special that was here.so quiet!!!,Not verified,,5.0
25-02-21,79946623,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,so quiet!,[ Good Buy! ] || ---------------- || had this dishwasher for only a couple of weeks. so much better than the contractor special that was here.so quiet! ,[ Good Buy! ] || ---------------- || [This review was collected as part of a promotion.] had this dishwasher for only a couple of weeks.  so much better than the contractor special that was here.so quiet!!!,Not verified,,5.0
25-02-21,69270268,dw,top_control,BOSCH,100_series,SHXM4AY54N,,us,retail,bosch_home_us,,Positive,"onboard,use",Noise_Vibration,Easy set up and super quiet washer and efficient,[ Great new Dishwasher ] || ---------------- || Easy set up and super quiet washer and efficient,[ Great new Dishwasher ] || ---------------- || [This review was collected as part of a promotion.] Easy set up and super quiet washer and efficient,Not verified,Originally posted on SHX5AEM5N,5.0
25-02-21,69270268,dw,top_control,BOSCH,100_series,SHXM4AY54N,,us,retail,bosch_home_us,,Positive,"onboard,use",Product_Satisfaction,Easy set up and super quiet washer and efficient,[ Great new Dishwasher ] || ---------------- || Easy set up and super quiet washer and efficient,[ Great new Dishwasher ] || ---------------- || [This review was collected as part of a promotion.] Easy set up and super quiet washer and efficient,Not verified,Originally posted on SHX5AEM5N,5.0
25-02-21,69660263,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Very Positive,use,,So far it is awesome.,"[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.",Not verified,,5.0
25-02-21,69660263,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Neutral,replace,Delivery_Installation,This is replacing an older Bosch.,"[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.",Not verified,,5.0
25-02-21,69660263,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Neutral,"onboard,use",Delivery_Installation,"Set up is different, getting used to the different way to put the dishwasher loaded.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.",Not verified,,5.0
25-02-21,69660263,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,Easy_Use,So quiet and do like the third rack.,"[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.",Not verified,,5.0
25-02-21,69660263,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,Noise_Vibration,So quiet and do like the third rack.,"[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.","[ So far I really like it ] || ---------------- || So far it is awesome. This is replacing an older Bosch. Set up is different, getting used to the different way to put the dishwasher loaded. So quiet and do like the third rack.",Not verified,,5.0
25-02-21,69660265,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,Performance_Washing,"The reviews said this thing cleaned well, but that's an understatement.","[ Amazing! ] || ---------------- || The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!","[ Amazing! ] || ---------------- || [This review was collected as part of a promotion.] The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!",Not verified,,5.0
25-02-21,69660265,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Neutral,use,Design,"Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load.","[ Amazing! ] || ---------------- || The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!","[ Amazing! ] || ---------------- || [This review was collected as part of a promotion.] The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!",Not verified,,5.0
25-02-21,69660265,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Neutral,use,Performance_Washing,"Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load.","[ Amazing! ] || ---------------- || The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!","[ Amazing! ] || ---------------- || [This review was collected as part of a promotion.] The reviews said this thing cleaned well, but that's an understatement. Not only can I put very dirty dishes and utensils in, I can leave them a couple days waiting for a full load. The mess fully dries out and still everything comes out perfectly clean. Wow!",Not verified,,5.0
