Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-01-09,48019683,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Design,Plenty of room.,Excellent! Dishes are clean and dry! Plenty of room. Like the top rack.,[ Great dishwasher ] || ---------------- || Excellent! Dishes are clean and dry!! Plenty of room. Like the top rack.,,,5.0
23-01-09,48019683,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,Like the top rack.,Excellent! Dishes are clean and dry! Plenty of room. Like the top rack.,[ Great dishwasher ] || ---------------- || Excellent! Dishes are clean and dry!! Plenty of room. Like the top rack.,,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Performance_Washing,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.","We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Very Positive,use,Performance_Washing,Everything has come out amazingly clean.,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Performance_Washing,We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,It is also a very quiet machine.,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019693,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Noise_Vibration,It has to be the quietest machine I ever owned.,"We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups. Everything has come out amazingly clean. We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection. It is also a very quiet machine. We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house. It has to be the quietest machine I ever owned.","[ Amazing Washer ] || ---------------- || We tested this washer with many levels of dirty dishes, pots, casserole dishes and coffe cups.  Everything has come out amazingly clean.  We even used heavily soiled burnt on food on casserole pans and it cleaned them to perfection.  It is also a very quiet machine.  We have on open floor plan in our home and we cannot hear the machine while we are in the LR of the house.  It has to be the quietest machine I ever owned.",,,5.0
23-01-09,48019743,dw,top_control,KITCHENAID,KDTM404KPS_KDTM404KBS,KDTM404KPS_KDTM404KBS,,us,retail,costco,,Neutral,purchase,Design,"We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.","We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances. Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install. In the meantime, the dishwasher has remained unopened in our garage during the remodel. Finally, we opened the box last week and discovered that it's missing the power cord for the unit. I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them. The first manager I spoke with assured me that he would follow up with me--which he didn't do. This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do. They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box. This issue remains unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight. Costco has fallen way short on this one. I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.","[ WORST CUSTOMER SERVICE BY WHIRLPOOL AND COSTCO ] || ---------------- || We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.  Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.  In the meantime, the dishwasher has remained unopened in our garage during the remodel.  Finally, we opened the box last week and discovered that it's missing the power cord for the unit.  I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them.  The first manager I spoke with assured me that he would follow up with me--which he didn't do.  This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do.  They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box.  This issue remains  unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight...Costco has fallen way short on this one.  I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.",,,1.0
23-01-09,48019743,dw,top_control,KITCHENAID,KDTM404KPS_KDTM404KBS,KDTM404KPS_KDTM404KBS,,us,retail,costco,,Neutral,"deliver,onboard",Delivery_Installation,"Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.","We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances. Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install. In the meantime, the dishwasher has remained unopened in our garage during the remodel. Finally, we opened the box last week and discovered that it's missing the power cord for the unit. I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them. The first manager I spoke with assured me that he would follow up with me--which he didn't do. This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do. They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box. This issue remains unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight. Costco has fallen way short on this one. I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.","[ WORST CUSTOMER SERVICE BY WHIRLPOOL AND COSTCO ] || ---------------- || We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.  Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.  In the meantime, the dishwasher has remained unopened in our garage during the remodel.  Finally, we opened the box last week and discovered that it's missing the power cord for the unit.  I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them.  The first manager I spoke with assured me that he would follow up with me--which he didn't do.  This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do.  They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box.  This issue remains  unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight...Costco has fallen way short on this one.  I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.",,,1.0
23-01-09,48019743,dw,top_control,KITCHENAID,KDTM404KPS_KDTM404KBS,KDTM404KPS_KDTM404KBS,,us,retail,costco,,Neutral,,Delivery_Installation,"In the meantime, the dishwasher has remained unopened in our garage during the remodel.","We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances. Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install. In the meantime, the dishwasher has remained unopened in our garage during the remodel. Finally, we opened the box last week and discovered that it's missing the power cord for the unit. I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them. The first manager I spoke with assured me that he would follow up with me--which he didn't do. This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do. They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box. This issue remains unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight. Costco has fallen way short on this one. I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.","[ WORST CUSTOMER SERVICE BY WHIRLPOOL AND COSTCO ] || ---------------- || We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.  Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.  In the meantime, the dishwasher has remained unopened in our garage during the remodel.  Finally, we opened the box last week and discovered that it's missing the power cord for the unit.  I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them.  The first manager I spoke with assured me that he would follow up with me--which he didn't do.  This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do.  They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box.  This issue remains  unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight...Costco has fallen way short on this one.  I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.",,,1.0
23-01-09,48019743,dw,top_control,KITCHENAID,KDTM404KPS_KDTM404KBS,KDTM404KPS_KDTM404KBS,,us,retail,costco,,Negative,,Durability,"Finally, we opened the box last week and discovered that it's missing the power cord for the unit.","We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances. Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install. In the meantime, the dishwasher has remained unopened in our garage during the remodel. Finally, we opened the box last week and discovered that it's missing the power cord for the unit. I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them. The first manager I spoke with assured me that he would follow up with me--which he didn't do. This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do. They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box. This issue remains unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight. Costco has fallen way short on this one. I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.","[ WORST CUSTOMER SERVICE BY WHIRLPOOL AND COSTCO ] || ---------------- || We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.  Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.  In the meantime, the dishwasher has remained unopened in our garage during the remodel.  Finally, we opened the box last week and discovered that it's missing the power cord for the unit.  I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them.  The first manager I spoke with assured me that he would follow up with me--which he didn't do.  This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do.  They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box.  This issue remains  unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight...Costco has fallen way short on this one.  I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.",,,1.0
23-01-09,48019743,dw,top_control,KITCHENAID,KDTM404KPS_KDTM404KBS,KDTM404KPS_KDTM404KBS,,us,retail,costco,,Neutral,onboard,Delivery_Installation,"I called Costco Concierge, both to schedule the install, and to get the missing power cord.","We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances. Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install. In the meantime, the dishwasher has remained unopened in our garage during the remodel. Finally, we opened the box last week and discovered that it's missing the power cord for the unit. I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them. The first manager I spoke with assured me that he would follow up with me--which he didn't do. This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do. They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box. This issue remains unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight. Costco has fallen way short on this one. I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.","[ WORST CUSTOMER SERVICE BY WHIRLPOOL AND COSTCO ] || ---------------- || We purchased this dishwasher in anticipation of a kitchen remodel, since the pandemic has caused such a shortage of appliances.  Upon delivery, we let the delivery team know when our remodel would be taking place, and were told to call Costco Concierge whenever we were ready and they would come back and install.  In the meantime, the dishwasher has remained unopened in our garage during the remodel.  Finally, we opened the box last week and discovered that it's missing the power cord for the unit.  I called Costco Concierge, both to schedule the install, and to get the missing power cord. In the course of three 1-hour+ phone calls so far, I've been told that it's been too long since the purchase for them to come back and install, and that Whirlpool isn't responding to provide the missing cord--they will keep trying to get a response from them.  The first manager I spoke with assured me that he would follow up with me--which he didn't do.  This has been going on for over a week, and Costco is content to let me wait to see if Whirlpool responds, that's the best they can do.  They won't allow me to return the unit since it's been over 90 days since the purchase, even if it's new in the box.  This issue remains  unresolved, and I have a new kitchen with a hold where the dishwasher should be, and no resolution in sight...Costco has fallen way short on this one.  I can get better customer service from other retailers, and will be purchasing big box items elsewhere in the future.",,,1.0
