Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-07-11,53675856,dw,front_control,GE,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,,us,retail,geappliances,,Neutral,use,Easy_Use,Open the door and slide the top rack out 6 inches to prop the door open or the dishes will be covered in spots.,"[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are cheap, which fits the price. Doesn't dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.","[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are  cheap, which fits the price. Doesn’t dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches  to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.",,,3.0
23-07-11,53681931,dw,top_control,GE,GDP665SYNFS,GDP665SYNFS,,us,retail,geappliances,,Very Positive,use,Performance_Washing,"Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday. I will see how the energy savings part goes, but I am happy with it so far. Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday.  I will see how the energy savings part goes, but I am happy with it so far.  Quiet, cleans very well and the bottle jets are awesome.",,,5.0
23-07-11,53682023,dw,top_control,GE,GDP665SYNFS,GDP665SYNFS,,us,retail,geappliances,,Positive,"replace,use",Design,Really nice appliance works great and looks great always loved ge appliances this replaced a 22 year old ge dishwasher,[ Great appliance ] || ---------------- || Really nice appliance works great and looks great always loved ge appliances this replaced a 22 year old ge dishwasher,[ Great appliance ] || ---------------- || Really nice appliance works great and looks great always loved ge appliances this replaced a 22 year old ge dishwasher,,,5.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Very Negative,use,,We can't tell you how disappointed we are in this product.,"[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Negative,use,Design,"It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible.","[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Negative,use,Easy_Use,"It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible.","[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Negative,use,Durability,"Oh, and your plastic-ware will be soaking wet when you unload the washer.","[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Neutral,purchase,Easy_Use,We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it.,"[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185789,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Negative,"decide,replace",,We will be buying another brand,"[ Buyer beware ] || ---------------- || We can't tell you how disappointed we are in this product. It won't hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand","[ Buyer beware ] || ---------------- || We can’t tell you how disappointed we are in this product. It won’t hold a cookie sheet, it holds less than our previous product and the rack design is horrible. Oh, and your plastic-ware will be soaking wet when you unload the washer. We spent around a grand for this product and we are pulling it out after just 2-3 weeks of trying to learn to live with it. We will be buying another brand",Verified,,1.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Positive,use,Performance_Washing,We've had this dishwasher only a few weeks but are very impressed with its cleaning.,"[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Very Positive,use,,It does a fantastic job.,"[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Positive,use,Performance_Drying,"People complain about dishes not drying with these Bosch machines, but ours does fine.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Positive,use,Easy_Use,"It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Positive,use,Performance_Drying,"It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Negative,use,,"However, now that I've used it, I probably wouldn't purchase based solely on that.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Positive,use,Easy_Use,Many useful features that we're still exploring.,"[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Neutral,use,Easy_Use,"Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
23-07-11,87185791,dw,top_control,BOSCH,500_series,SHX65DM5N,,us,retail,lowes,,Neutral,use,Performance_Washing,"Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on! I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.","[ Love ] || ---------------- || We've had this dishwasher only a few weeks but are very impressed with its cleaning. It does a fantastic job. People complain about dishes not drying with these Bosch machines, but ours does fine. It can pop the door open automatically, which does seem to help with drying, and it was a reason I chose this model. However, now that I've used it, I probably wouldn't purchase based solely on that. Many useful features that we're still exploring. Normal wash time is longer than our old one, but it makes no difference to us; we just turn it on when we go to bed. Very quiet operation. I'm grateful for the red light on the floor that tells us that it's on!I looked at the 800 series and decided I preferred the flatter third rack in the 300 and 500 models. I'm a cook, but we're just two people, so we can put all our silverware and other utensils in the third rack and remove the silverware baskets from the bottom rack to make room for pans. Also love that the silverware baskets are two smaller ones instead of one large one--easy to use one, both, or none. Love the adjustable tines on the racks.Really happy with our purchase so far. We're expecting years of reliable service.",Verified,,5.0
