Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Negative,,Service,"GE, You are not doing me a favor, I purchased your unit, It dont work.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Very Negative,use,Performance_Drying,"Cleans well, does not dry well AT ALL.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Very Negative,use,Performance_Washing,"Cleans well, does not dry well AT ALL.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,use,Design,"The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,use,Easy_Use,"The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,use,Design,"Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,use,Easy_Use,"Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,use,Easy_Use,The racks themselves are flimsy.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Very Negative,use,Design,Cheap design and super disappointed.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Very Negative,use,Price,Cheap design and super disappointed.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936648,dw,builtin,LG,Objet_collection,DUE5BGL1,ASIA,kr,retail,naver_shop,,Neutral,use,Design,"The design and features are good, but I wish they would give a bigger discount.","[ It's expensive but I like it ] || ---------------- || The design and features are good, but I wish they would give a bigger discount.",[ 비싸지만 좋아요 ] || ---------------- || 디자인 기능 좋네요할인을 좀 더 해주면 좋겠어요,,,4.0
25-01-06,67936649,dw,builtin,LG,Objet_collection,DUE5BGL1,ASIA,kr,retail,naver_shop,,Positive,use,Easy_Use,Dishwashers make life easier,[ Dishwashers make life easier ] || ---------------- || Dishwashers make life easier,[ 식기세척기 덕분에 삶이 여유로워졌어요 ㅋ ] || ---------------- || 식기세척기 덕분에 삶이 여유로워졌어요 ㅋ,,,5.0
25-01-06,67936650,dw,builtin,LG,Objet_collection,DUE5BGL1,ASIA,kr,retail,naver_shop,,Neutral,use,Design,The dishwasher absolutely has to be bigger.,[ The dishwasher absolutely has to be bigger. It works really well. I use it all the time. ] || ---------------- || The dishwasher absolutely has to be bigger. It works really well. I use it all the time.,[ 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다. ] || ---------------- || 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다.,,,5.0
25-01-06,67936650,dw,builtin,LG,Objet_collection,DUE5BGL1,ASIA,kr,retail,naver_shop,,Positive,use,,It works really well.,[ The dishwasher absolutely has to be bigger. It works really well. I use it all the time. ] || ---------------- || The dishwasher absolutely has to be bigger. It works really well. I use it all the time.,[ 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다. ] || ---------------- || 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다.,,,5.0
25-01-06,67936650,dw,builtin,LG,Objet_collection,DUE5BGL1,ASIA,kr,retail,naver_shop,,Neutral,use,,I use it all the time.,[ The dishwasher absolutely has to be bigger. It works really well. I use it all the time. ] || ---------------- || The dishwasher absolutely has to be bigger. It works really well. I use it all the time.,[ 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다. ] || ---------------- || 식기세척기는 무조건 커야 됩니다. 너무 너무 잘 쓰고 있어요. 항상 쓰고 있습니다.,,,5.0
25-01-06,67939407,dw,top_control,GE,GDP670SGVBB_GDP670SGVWW_GDP670SMVES_GDP670SYVFS,GDP670SGVBB_GDP670SGVWW_GDP670SMVES_GDP670SYVFS,,us,retail,geappliances,,Neutral,use,Durability,It is filling with water after cycle is finished.,[ Dishwasher ] || ---------------- || It is filling with water after cycle is finished. A part has been ordered.,[ Dishwasher ] || ---------------- || It is filling with water after cycle is finished. A part has been ordered.,,,2.0
