Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
26-02-25,82497408,dw,top_control,KITCHENAID,KDTS324SPS,KDTS324SPS,,us,retail,costco,,Neutral,onboard,Delivery_Installation,He did a quick installation.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,Not verified,,5.0
26-02-25,82507675,dw,top_control,SAMSUNG,StormWash,DW80B6060US_AC,,ci,retail,thebrick,,Positive,use,,I really like the little song it does when the dishwasher is done and then I was shocked when the door opened by itself.,[ I would recommend this unit strongly ] || ---------------- || This dishwasher is so quiet that I thought it wasn't working. I really like the little song it does when the dishwasher is done and then I was shocked when the door opened by itself.,[ I would recommend this unit strongly ] || ---------------- || This dishwasher is so quiet that I thought it wasn't working. I really like the little song it does when the dishwasher is done and then I was shocked when the door opened by itself.,Not verified,,5.0
26-02-25,82508689,dw,top_control,LG,LDNPM545S,LDNPM545S,,us,retail,bestbuy,,Positive,use,,Excellent dishwasher.,"[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at Best Buy during a Presidents Day Sale and free delivery","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at  Best Buy during a Presidents Day Sale and free delivery",Not verified,,5.0
26-02-25,82508689,dw,top_control,LG,LDNPM545S,LDNPM545S,,us,retail,bestbuy,,Positive,,,I am proud to purchase LG brand appliances for my home.,"[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at Best Buy during a Presidents Day Sale and free delivery","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at  Best Buy during a Presidents Day Sale and free delivery",Not verified,,5.0
26-02-25,82508689,dw,top_control,LG,LDNPM545S,LDNPM545S,,us,retail,bestbuy,,Positive,use,Performance_Washing,Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean.,"[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at Best Buy during a Presidents Day Sale and free delivery","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at  Best Buy during a Presidents Day Sale and free delivery",Not verified,,5.0
26-02-25,82508689,dw,top_control,LG,LDNPM545S,LDNPM545S,,us,retail,bestbuy,,Positive,use,Easy_Use,"So easy, my children can load their plates and glasses on their own.","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at Best Buy during a Presidents Day Sale and free delivery","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at  Best Buy during a Presidents Day Sale and free delivery",Not verified,,5.0
26-02-25,82508689,dw,top_control,LG,LDNPM545S,LDNPM545S,,us,retail,bestbuy,,Neutral,"deliver,purchase",Delivery_Installation,I was able save hundreds of dollars at bestbuy during a Presidents Day Sale and free delivery,"[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at Best Buy during a Presidents Day Sale and free delivery","[ The Best LG Dishwasher ] || ---------------- || Excellent dishwasher. I am proud to purchase LG brand appliances for my home. Especially this 3 tier washer to better load dishes and silverware to achieve their a much better clean. So easy, my children can load their plates and glasses on their own. I was able save hundreds of dollars at  Best Buy during a Presidents Day Sale and free delivery",Not verified,,5.0
26-02-25,82510698,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,Easy_Use,It is very quiet and easy to run.,[ Happy Together ] || ---------------- || It is very quiet and easy to run. It also has the food drainage colection system in the front for easy cleaning. I didn't realize how much I depended on a dishwasher until my old one finally went. No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run.  It also has the food drainage colection system in the front for easy cleaning.  I didn't realize how much I depended on a dishwasher until my old one finally went.  No regrets on this purchase at all.,Not verified,,5.0
26-02-25,82510698,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,Noise_Vibration,It is very quiet and easy to run.,[ Happy Together ] || ---------------- || It is very quiet and easy to run. It also has the food drainage colection system in the front for easy cleaning. I didn't realize how much I depended on a dishwasher until my old one finally went. No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run.  It also has the food drainage colection system in the front for easy cleaning.  I didn't realize how much I depended on a dishwasher until my old one finally went.  No regrets on this purchase at all.,Not verified,,5.0
26-02-25,82510698,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Neutral,use,,It also has the food drainage convection system in the front for easy cleaning.,[ Happy Together ] || ---------------- || It is very quiet and easy to run. It also has the food drainage colection system in the front for easy cleaning. I didn't realize how much I depended on a dishwasher until my old one finally went. No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run.  It also has the food drainage colection system in the front for easy cleaning.  I didn't realize how much I depended on a dishwasher until my old one finally went.  No regrets on this purchase at all.,Not verified,,5.0
26-02-25,82510698,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Neutral,use,,I didn't realize how much I depended on a dishwasher until my old one finally went.,[ Happy Together ] || ---------------- || It is very quiet and easy to run. It also has the food drainage colection system in the front for easy cleaning. I didn't realize how much I depended on a dishwasher until my old one finally went. No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run.  It also has the food drainage colection system in the front for easy cleaning.  I didn't realize how much I depended on a dishwasher until my old one finally went.  No regrets on this purchase at all.,Not verified,,5.0
26-02-25,82510698,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,purchase,,No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run. It also has the food drainage colection system in the front for easy cleaning. I didn't realize how much I depended on a dishwasher until my old one finally went. No regrets on this purchase at all.,[ Happy Together ] || ---------------- || It is very quiet and easy to run.  It also has the food drainage colection system in the front for easy cleaning.  I didn't realize how much I depended on a dishwasher until my old one finally went.  No regrets on this purchase at all.,Not verified,,5.0
26-02-25,82510699,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,"purchase,use",,My husband bought this a month ago and we love it.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,Not verified,,5.0
26-02-25,82510699,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,Design,It's modern looking and very efficient.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,Not verified,,5.0
26-02-25,82510699,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,Product_Satisfaction,It's modern looking and very efficient.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,Not verified,,5.0
26-02-25,82510699,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,Noise_Vibration,It is so quiet.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,Not verified,,5.0
26-02-25,82510699,dw,top_control,WHIRLPOOL,WDPS8024SZ,WDPS8024SZ,,us,retail,whirlpool_com_us,,Positive,use,,I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,[ So quiet ] || ---------------- || My husband bought this a month ago and we love it. It's modern looking and very efficient. It is so quiet. I've never had a dishwasher this nice.,Not verified,,5.0
26-02-25,82510707,dw,top_control,WHIRLPOOL,WDTS8024SZ,WDTS8024SZ,,us,retail,whirlpool_com_us,,Very Positive,use,Design,awesome beautiful appliance very tasteful stylish looking love it!,[ IMPRESSIVE ] || ---------------- || awesome beautiful appliance very tasteful stylish looking love it! ,[ IMPRESSIVE ] || ---------------- || awesome beautiful appliance very tasteful stylish looking love it!!,Not verified,,5.0
26-02-25,82511644,dw,builtin,LG,Objet_collection,DUE1BGL,ASIA,kr,retail,coupang,,Positive,,Durability,"I couldn't help but think, LG is the answer when it comes to appliances.","[ When it comes to home appliances, it's LG ] || ---------------- || I couldn't help but think, LG is the answer when it comes to appliances. The most satisfying aspect was the ability to choose a convenient date for installation. Despite my busy schedule, the installer arrived on a convenient date and proceeded smoothly and quickly. The installer also provided detailed explanations of product features and usage tips, making it easy to use even for beginners. The actual cleaning performance was also outstanding. With a large capacity for 12 people, I could wash all my family's dishes and utensils at once, saving both time and water. I was particularly impressed by how plastic containers, frying pans, cups, and plates were washed cleanly, leaving no residue. The dryer function also made them neat and tidy, ready for storage. Design-wise, the LG Dios Objet Collection's signature sleek exterior blended seamlessly with the kitchen, elevating the built-in appliances' class. The intuitive buttons and display made daily use seamless. For families with large families or those looking to reduce the burden of dishwashing, I confidently recommend this product for its ease of installation, cleaning performance, and sophisticated design. It was a satisfying choice, fulfilling the adage that LG is the answer to appliances.","[ 가전은 역시 LG ] || ---------------- || 가전은 역시 LG라는 생각이 절로 들었습니다.먼저 가장 만족스러웠던 점은 원하는 날짜에 기사님 직접 시공을 선택할 수 있다는 부분입니다. 바쁜 일정 속에서도 편리한 날짜에 방문해 주셔서 설치가 매끄럽고 빠르게 진행되었고, 기사님께서 제품 기능 설명과 사용 팁까지 자세히 안내해 주셔서 초보자도 부담 없이 사용할 수 있었습니다.실제 세척 성능도 매우 뛰어났습니다. 12인용 대용량이라 가족 식기와 조리도구를 한 번에 넣고 세척할 수 있어 시간과 물 절약에 큰 도움이 되었습니다. 특히 플라스틱 용기, 프라이팬, 컵, 접시 등이 잔여 음식물 없이 깨끗하게 세척되는 모습이 인상적이었고, 건조 기능까지 더해져 바로 수납할 수 있을 만큼 말끔했습니다.디자인 측면에서도 LG 디오스 오브제컬렉션 특유의 세련된 외관이 부엌 공간과 잘 어울려 빌트인 가전의 품격을 높여 주었습니다. 버튼과 디스플레이도 직관적이라 매일 사용하는 데 불편함이 없었습니다.가족이 많은 집이나 설거지 부담을 줄이고 싶은 분들께, 설치 편의성과 세척 성능, 세련된 디자인까지 모두 갖춘 제품이라 자신 있게 추천드립니다. 가전은 역시 LG라는 말이 현실이 된 만족스러운 선택이었습니다.",Not verified,,5.0
26-02-25,82511644,dw,builtin,LG,Objet_collection,DUE1BGL,ASIA,kr,retail,coupang,,Positive,,Service,"I couldn't help but think, LG is the answer when it comes to appliances.","[ When it comes to home appliances, it's LG ] || ---------------- || I couldn't help but think, LG is the answer when it comes to appliances. The most satisfying aspect was the ability to choose a convenient date for installation. Despite my busy schedule, the installer arrived on a convenient date and proceeded smoothly and quickly. The installer also provided detailed explanations of product features and usage tips, making it easy to use even for beginners. The actual cleaning performance was also outstanding. With a large capacity for 12 people, I could wash all my family's dishes and utensils at once, saving both time and water. I was particularly impressed by how plastic containers, frying pans, cups, and plates were washed cleanly, leaving no residue. The dryer function also made them neat and tidy, ready for storage. Design-wise, the LG Dios Objet Collection's signature sleek exterior blended seamlessly with the kitchen, elevating the built-in appliances' class. The intuitive buttons and display made daily use seamless. For families with large families or those looking to reduce the burden of dishwashing, I confidently recommend this product for its ease of installation, cleaning performance, and sophisticated design. It was a satisfying choice, fulfilling the adage that LG is the answer to appliances.","[ 가전은 역시 LG ] || ---------------- || 가전은 역시 LG라는 생각이 절로 들었습니다.먼저 가장 만족스러웠던 점은 원하는 날짜에 기사님 직접 시공을 선택할 수 있다는 부분입니다. 바쁜 일정 속에서도 편리한 날짜에 방문해 주셔서 설치가 매끄럽고 빠르게 진행되었고, 기사님께서 제품 기능 설명과 사용 팁까지 자세히 안내해 주셔서 초보자도 부담 없이 사용할 수 있었습니다.실제 세척 성능도 매우 뛰어났습니다. 12인용 대용량이라 가족 식기와 조리도구를 한 번에 넣고 세척할 수 있어 시간과 물 절약에 큰 도움이 되었습니다. 특히 플라스틱 용기, 프라이팬, 컵, 접시 등이 잔여 음식물 없이 깨끗하게 세척되는 모습이 인상적이었고, 건조 기능까지 더해져 바로 수납할 수 있을 만큼 말끔했습니다.디자인 측면에서도 LG 디오스 오브제컬렉션 특유의 세련된 외관이 부엌 공간과 잘 어울려 빌트인 가전의 품격을 높여 주었습니다. 버튼과 디스플레이도 직관적이라 매일 사용하는 데 불편함이 없었습니다.가족이 많은 집이나 설거지 부담을 줄이고 싶은 분들께, 설치 편의성과 세척 성능, 세련된 디자인까지 모두 갖춘 제품이라 자신 있게 추천드립니다. 가전은 역시 LG라는 말이 현실이 된 만족스러운 선택이었습니다.",Not verified,,5.0
26-02-25,82511644,dw,builtin,LG,Objet_collection,DUE1BGL,ASIA,kr,retail,coupang,,Positive,onboard,Delivery_Installation,The most satisfying aspect was the ability to choose a convenient date for installation.,"[ When it comes to home appliances, it's LG ] || ---------------- || I couldn't help but think, LG is the answer when it comes to appliances. The most satisfying aspect was the ability to choose a convenient date for installation. Despite my busy schedule, the installer arrived on a convenient date and proceeded smoothly and quickly. The installer also provided detailed explanations of product features and usage tips, making it easy to use even for beginners. The actual cleaning performance was also outstanding. With a large capacity for 12 people, I could wash all my family's dishes and utensils at once, saving both time and water. I was particularly impressed by how plastic containers, frying pans, cups, and plates were washed cleanly, leaving no residue. The dryer function also made them neat and tidy, ready for storage. Design-wise, the LG Dios Objet Collection's signature sleek exterior blended seamlessly with the kitchen, elevating the built-in appliances' class. The intuitive buttons and display made daily use seamless. For families with large families or those looking to reduce the burden of dishwashing, I confidently recommend this product for its ease of installation, cleaning performance, and sophisticated design. It was a satisfying choice, fulfilling the adage that LG is the answer to appliances.","[ 가전은 역시 LG ] || ---------------- || 가전은 역시 LG라는 생각이 절로 들었습니다.먼저 가장 만족스러웠던 점은 원하는 날짜에 기사님 직접 시공을 선택할 수 있다는 부분입니다. 바쁜 일정 속에서도 편리한 날짜에 방문해 주셔서 설치가 매끄럽고 빠르게 진행되었고, 기사님께서 제품 기능 설명과 사용 팁까지 자세히 안내해 주셔서 초보자도 부담 없이 사용할 수 있었습니다.실제 세척 성능도 매우 뛰어났습니다. 12인용 대용량이라 가족 식기와 조리도구를 한 번에 넣고 세척할 수 있어 시간과 물 절약에 큰 도움이 되었습니다. 특히 플라스틱 용기, 프라이팬, 컵, 접시 등이 잔여 음식물 없이 깨끗하게 세척되는 모습이 인상적이었고, 건조 기능까지 더해져 바로 수납할 수 있을 만큼 말끔했습니다.디자인 측면에서도 LG 디오스 오브제컬렉션 특유의 세련된 외관이 부엌 공간과 잘 어울려 빌트인 가전의 품격을 높여 주었습니다. 버튼과 디스플레이도 직관적이라 매일 사용하는 데 불편함이 없었습니다.가족이 많은 집이나 설거지 부담을 줄이고 싶은 분들께, 설치 편의성과 세척 성능, 세련된 디자인까지 모두 갖춘 제품이라 자신 있게 추천드립니다. 가전은 역시 LG라는 말이 현실이 된 만족스러운 선택이었습니다.",Not verified,,5.0
