Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-03-29,80894361,dw,top_control,SAMSUNG,DW80B7070UG_DW80B7070US_DW80BB707012,DW80B7070UG_DW80B7070US_DW80BB707012,,us,retail,costco,,Positive,use,,I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,[ Quiet excellent dishwasher ] || ---------------- || I have had it a month and so far it is working. It cleans and is better than other dishwashers I have had.I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,[ Quiet excellent dishwasher ] || ---------------- || I have had it a month and so far it is working. It cleans and is better than other dishwashers I have had.I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,Verified,,5.0
24-03-29,60550284,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Very Negative,,Service,Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation. Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed. Dishwasher still not fixed. Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation.  Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed.  Dishwasher still not fixed.  Very disappointed with Samsung and Costco.,,,1.0
24-03-29,60550651,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Positive,use,,I just love this Samsung Dishwasher in every way.,"[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way. It is sleek looking. I love the select buttons in the top so when it is closed there are no buttons showing. I love the automatic door opening when the cycle is done to help with drying, letting out heat. Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way.  It is sleek looking.  I love the select buttons in the top so when it is closed there are no buttons showing.  I love the automatic door opening when the cycle is done to help with drying, letting out heat.  Well, I just love it.",,,5.0
24-03-29,60550651,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Positive,use,Design,It is sleek looking.,"[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way. It is sleek looking. I love the select buttons in the top so when it is closed there are no buttons showing. I love the automatic door opening when the cycle is done to help with drying, letting out heat. Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way.  It is sleek looking.  I love the select buttons in the top so when it is closed there are no buttons showing.  I love the automatic door opening when the cycle is done to help with drying, letting out heat.  Well, I just love it.",,,5.0
24-03-29,60550651,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Positive,use,Easy_Use,I love the select buttons in the top so when it is closed there are no buttons showing.,"[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way. It is sleek looking. I love the select buttons in the top so when it is closed there are no buttons showing. I love the automatic door opening when the cycle is done to help with drying, letting out heat. Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way.  It is sleek looking.  I love the select buttons in the top so when it is closed there are no buttons showing.  I love the automatic door opening when the cycle is done to help with drying, letting out heat.  Well, I just love it.",,,5.0
24-03-29,60550651,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Positive,use,,"I love the automatic door opening when the cycle is done to help with drying, letting out heat.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way. It is sleek looking. I love the select buttons in the top so when it is closed there are no buttons showing. I love the automatic door opening when the cycle is done to help with drying, letting out heat. Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way.  It is sleek looking.  I love the select buttons in the top so when it is closed there are no buttons showing.  I love the automatic door opening when the cycle is done to help with drying, letting out heat.  Well, I just love it.",,,5.0
24-03-29,60550651,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Positive,use,,"Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way. It is sleek looking. I love the select buttons in the top so when it is closed there are no buttons showing. I love the automatic door opening when the cycle is done to help with drying, letting out heat. Well, I just love it.","[ Top Control Smart Dishwasher ] || ---------------- || I just love this Samsung Dishwasher in every way.  It is sleek looking.  I love the select buttons in the top so when it is closed there are no buttons showing.  I love the automatic door opening when the cycle is done to help with drying, letting out heat.  Well, I just love it.",,,5.0
24-03-29,79394707,dw,front_control,BOSCH,300_series,SHE53C82N_SHE53C85N_SHE53C86N,,us,retail,bestbuy,,Positive,use,,Very nice dishwasher.,"[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.",Not verified,,5.0
24-03-29,79394707,dw,front_control,BOSCH,300_series,SHE53C82N_SHE53C85N_SHE53C86N,,us,retail,bestbuy,,Neutral,,,More then I could ask for!,"[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.",Not verified,,5.0
24-03-29,79394707,dw,front_control,BOSCH,300_series,SHE53C82N_SHE53C85N_SHE53C86N,,us,retail,bestbuy,,Very Positive,deliver,Delivery_Installation,The customer service and delivery of the dishwasher was amazing.,"[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.",Not verified,,5.0
24-03-29,79394707,dw,front_control,BOSCH,300_series,SHE53C82N_SHE53C85N_SHE53C86N,,us,retail,bestbuy,,Very Positive,deliver,Service,The customer service and delivery of the dishwasher was amazing.,"[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.",Not verified,,5.0
24-03-29,79394707,dw,front_control,BOSCH,300_series,SHE53C82N_SHE53C85N_SHE53C86N,,us,retail,bestbuy,,Positive,deliver,Delivery_Installation,"The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.","[ Love the dishwasher ] || ---------------- || Very nice dishwasher. More then I could ask for! The customer service and delivery of the dishwasher was amazing. The 2 guys that delivered it were very nice, polite and put it exactly where I asked them too.",Not verified,,5.0
24-03-29,60552010,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Very Positive,use,Noise_Vibration,Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning.,"[ Great Features, So Quiet! ] || ---------------- || Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning. ","[ Great Features, So Quiet! ] || ---------------- || Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning..",,,5.0
24-03-29,60552010,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Very Positive,use,Performance_Washing,Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning.,"[ Great Features, So Quiet! ] || ---------------- || Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning. ","[ Great Features, So Quiet! ] || ---------------- || Love this dishwasher - the features are incredible and its so quiet and does a great job cleaning..",,,5.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Negative,use,Durability,After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.,"[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Neutral,,,I initially thought that we left the clear plastic protective coating on the door.,"[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Negative,,Durability,I started to pull on it and realized it was the stainless steel that was peeling.,"[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Neutral,,,I did a little research and found others have had the same experience with the door.,"[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Neutral,maintain,Durability,"Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Neutral,maintain,Service,"Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Very Negative,use,,DO NOT buy this dishwasher.,"[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552061,dw,top_control,KITCHENAID,KDTM704KPS,KDTM704KPS,,us,retail,kitchenaid,,Negative,,,"When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling. I initially thought that we left the clear plastic protective coating on the door. I started to pull on it and realized it was the stainless steel that was peeling. I did a little research and found others have had the same experience with the door. Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty. DO NOT buy this dishwasher. When I took this picture for the review, I noticed rust marks as well (sigh).","[ Door peeling after 11 months ] || ---------------- || After 11 months of having this dishwasher I noticed that the bottom edge of the door was curling up and peeling.  I initially thought that we left the clear plastic protective coating on the door.  I started to pull on it and realized it was the stainless steel that was peeling.  I did a little research and found others have had the same experience with the door.  Since there is no problem with the function of the dishwasher itself, the peeling isn't covered under the 1 year warranty.  DO NOT buy this dishwasher.  When I took this picture for the review, I noticed rust marks as well (sigh).",,,1.0
24-03-29,60552446,dw,top_control,GE,GPT145SSLSS,GPT145SSLSS,,us,retail,bestbuy,,Positive,use,Performance_Drying,Cleans and dries all loads.,"[ Best portable dishwasher ] || ---------------- || Cleans and dries all loads. Super quiet. This is a game changer for dishes, pots and pans. I'm a cook. I use this every day. So easy.","[ Best portable dishwasher ] || ---------------- || Cleans and dries all loads. Super quiet. This is a game changer for dishes, pots and pans. I’m a cook. I use this every day. So easy.",,,5.0
24-03-29,60552446,dw,top_control,GE,GPT145SSLSS,GPT145SSLSS,,us,retail,bestbuy,,Positive,use,Performance_Washing,Cleans and dries all loads.,"[ Best portable dishwasher ] || ---------------- || Cleans and dries all loads. Super quiet. This is a game changer for dishes, pots and pans. I'm a cook. I use this every day. So easy.","[ Best portable dishwasher ] || ---------------- || Cleans and dries all loads. Super quiet. This is a game changer for dishes, pots and pans. I’m a cook. I use this every day. So easy.",,,5.0
