Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Positive,use,Noise_Vibration,This is the quietest DW I've ever heard.,"[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54490571,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,sears,,Positive,use,Easy_Use,"I love the connected feature to let me know when it is done and the display on the front says ""clean.""","[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says ""clean.""",[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says 'clean.',,,5.0
23-08-03,54492921,dw,top_control,GE,cafe,CDT845P2NS1,,ci,retail,thebrick,,Positive,use,Design,"Pros: Looks great (especially with a matching fridge! ),","[ Works very well so far ] || ---------------- || Pros: Looks great (especially with a matching fridge! ), sounds great (as in very quiet), love the 3rd rack on top and vertically adjustable 2nd rack, wine glass clips and customizable rack configurations are usefulCons: dish soap pods have not dissolved fully when placed inside dispenser leaving soap residue (and questions about how clean the dishes really are), a full cycle with drying takes over 2 hours, other than an indicator light on the front you can't really tell how much time is left for the cycle to finish if the unit is flush mounted under your countertop","[ Works very well so far ] || ---------------- || Pros: Looks great (especially with a matching fridge!), sounds great (as in very quiet), love the 3rd rack on top and vertically adjustable 2nd rack, wine glass clips and customizable rack configurations are usefulCons: dish soap pods have not dissolved fully when placed inside dispenser leaving soap residue (and questions about how clean the dishes really are), a full cycle with drying takes over 2 hours, other than an indicator light on the front you can't really tell how much time is left for the cycle to finish if the unit is flush mounted under your countertop",,,4.0
23-08-03,54492921,dw,top_control,GE,cafe,CDT845P2NS1,,ci,retail,thebrick,,Positive,use,Noise_Vibration,"sounds great (as in very quiet), love the 3rd rack on top and vertically adjustable 2nd rack, wine glass clips and customizable rack configurations are usefulCons: dish soap pods have not dissolved fully when placed inside dispenser leaving soap residue (and questions about how clean the dishes really are), a full cycle with drying takes over 2 hours, other than an indicator light on the front you can't really tell how much time is left for the cycle to finish if the unit is flush mounted under your countertop","[ Works very well so far ] || ---------------- || Pros: Looks great (especially with a matching fridge! ), sounds great (as in very quiet), love the 3rd rack on top and vertically adjustable 2nd rack, wine glass clips and customizable rack configurations are usefulCons: dish soap pods have not dissolved fully when placed inside dispenser leaving soap residue (and questions about how clean the dishes really are), a full cycle with drying takes over 2 hours, other than an indicator light on the front you can't really tell how much time is left for the cycle to finish if the unit is flush mounted under your countertop","[ Works very well so far ] || ---------------- || Pros: Looks great (especially with a matching fridge!), sounds great (as in very quiet), love the 3rd rack on top and vertically adjustable 2nd rack, wine glass clips and customizable rack configurations are usefulCons: dish soap pods have not dissolved fully when placed inside dispenser leaving soap residue (and questions about how clean the dishes really are), a full cycle with drying takes over 2 hours, other than an indicator light on the front you can't really tell how much time is left for the cycle to finish if the unit is flush mounted under your countertop",,,4.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,,,Wow!,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,use,Performance_Washing,I am so impressed with the function of this dishwasher.,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,use,Design,"The looks are great the stainless steel, fingerprint resistant front is a dream come true.","[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Very Positive,"onboard,use",Design,The inside has so much room and the set up and design are phenomenal.,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,use,Performance_Washing,I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets!,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Neutral,use,Performance_Washing,I have never had a dishwasher that has cleaned my silverware this well.,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,use,Performance_Drying,I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry!,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Positive,use,Performance_Washing,I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry!,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54496407,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Very Positive,use,,I highly recommend this dishwasher.,"[ Incredible features! ] || ---------------- || Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.","[ Incredible features! ] || ---------------- || [This review was collected as part of a promotion.] Wow! I am so impressed with the functionality of this dishwasher. The looks are great the stainless steel, finger print resistant front is a dream come true. The inside has so much room and the set up and design are phenomenal. I love the bottle cleaner and absolute love how well it cleans my silverware with the deep clean silverware jets! I have never had a dishwasher that has cleaned my silverware this well. I love that this dishwasher also sanitizes and that when the cycle is over everything is not only clean but also dry! I highly recommend this dishwasher.",,,5.0
23-08-03,54527713,dw,builtin,LG,Objet_collection,DEBJ4ES,ASIA,kr,retail,naver_shop,,Positive,"deliver,onboard",Delivery_Installation,Delivery was fast and installation was good.,[ Delivery was fast and installation was good. I am satisfied. ] || ---------------- || Delivery was fast and installation was good. I'm satisfied~~,[ 배송도 빠르고 설치도 잘해주셨어요만족합니다~~ ] || ---------------- || 배송도 빠르고 설치도 잘해주셨어요만족합니다~~,,,5.0
23-08-03,54527713,dw,builtin,LG,Objet_collection,DEBJ4ES,ASIA,kr,retail,naver_shop,,Positive,,,I'm satisfied~~,[ Delivery was fast and installation was good. I am satisfied. ] || ---------------- || Delivery was fast and installation was good. I'm satisfied~~,[ 배송도 빠르고 설치도 잘해주셨어요만족합니다~~ ] || ---------------- || 배송도 빠르고 설치도 잘해주셨어요만족합니다~~,,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Positive,use,Durability,This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years.,"[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Positive,use,Noise_Vibration,This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor.,"[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Positive,use,Easy_Use,So far I have only used the 60 mode and it has worked well for my usage.,"[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Positive,use,Easy_Use,The three shelves work great espically the top shelf for long items like turners and spagetti tongs.,"[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Neutral,,Easy_Use,"A word of caution, make sure that you have an opening that this will slide into.","[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54679957,dw,top_control,BOSCH,100_series,SHX5AEM5N,,us,retail,lowes,,Neutral,,,"My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.","[ Modern looking appliance ] || ---------------- || [This review was collected as part of a promotion.] This is a great replqcement for a 20 year old dishwsher that hasn't worked for 10 years. This is so quiet that the only way that you can tell that it is running is the red light that shines on the floor. So far I have only used the 60 mode and it has worked well for my usage. The three shelves work great espically the top shelf for long items like turners and spagetti tongs. A word of caution, make sure that you have an opening that this will slide into. My old dishwasher was behind the counter bullnose, so I had to trim it.",,,5.0
23-08-03,54680417,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,purchase,Easy_Use,Early on in our marriage my wife and I had an entry level Bosch (still alot of $ for us! ),"[ Great choice ] || ---------------- || Early on in our marriage my wife and I had an entry level Bosch (still alot of $ for us! ) and loved it. You had to learn *how* Bosch dishwashers dry with the German voodoo and all, but we found if you spend 10 minutes and read the manual then it works amazingly well. This 800 was a splurge, but since I do 90% of the dishes, I kind of went down the dishwasher rabbit hole for a week and ended up with this 800. Costco installation was great and took less than an hour. Came on time too! As for the dishwasher itself, you have to pay attention for the red LED shining on the floor to know it's running, because we cannot hear it running unless we bend down and put an ear right next to the front. No matter where you put the 800, noise won't be an issue. It cleans and dries super well. Even plastics. Just follow the instructions and get used to the dry settings. With no exposed heater element you can put plastics anywhere - even the bottom rack. The big test was a huge Pyrex casserole dish with baked and burnt on crap all the way around it. Didn't rinse it. I put it face down on the bottom rack to see if the claims were true. It cleaned it perfectly. Not a burnt speck or anything was left. We have never had a DW that could do THAT before. Anyhow, it's a great unit. Our first one lasted years and we sold it with our first starter house. We have a big family and cook virtually every meal. The 800 does great and we can't recommend it enough. We ended up removing the utensil basket to have more bottom rack room and put all utensils on the top (3rd) rack. Everything has come out clean and dry. More than we wanted to spend, but haven't regretted it.","[ Great choice ] || ---------------- || Early on in our marriage my wife and I had an entry level Bosch (still alot of $ for us!) and loved it. You had to learn *how* Bosch dishwashers dry with the German voodoo and all, but we found if you spend 10 minutes and read the manual then it works amazingly well. This 800 was a splurge, but since I do 90% of the dishes, I kind of went down the dishwasher rabbit hole for a week and ended up with this 800. Costco installation was great and took less than an hour. Came on time too! As for the dishwasher itself, you have to pay attention for the red LED shining on the floor to know it's running, because we cannot hear it running unless we bend down and put an ear right next to the front. No matter where you put the 800, noise won't be an issue. It cleans and dries super well. Even plastics. Just follow the instructions and get used to the dry settings. With no exposed heater element you can put plastics anywhere - even the bottom rack. The big test was a huge Pyrex casserole dish with baked and burnt on crap all the way around it. Didn't rinse it. I put it face down on the bottom rack to see if the claims were true. It cleaned it perfectly. Not a burnt speck or anything was left. We have never had a DW that could do THAT before. Anyhow, it's a great unit. Our first one lasted years and we sold it with our first starter house. We have a big family and cook virtually every meal. The 800 does great and we can't recommend it enough. We ended up removing the utensil basket to have more bottom rack room and put all utensils on the top (3rd) rack. Everything has come out clean and dry. More than we wanted to spend, but haven't regretted it.",,,5.0
