Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-11-27,76855600,dw,front_control,MAYTAG,MDB4949SKZ,MDB4949SKZ,,us,retail,homedepot,,Positive,use,Noise_Vibration,Great dishwasher that is quiet and does an excellent all around job.,[ The dishes are done ] || ---------------- || (This review was collected as part of a promotion.) Great dishwasher that is quiet and does an excellent all around job.,[ The dishes are done ] || ---------------- || (This review was collected as part of a promotion.) Great dishwasher that is quiet and does an excellent all around job.,Not verified,Originally posted on maytag.com,5.0
25-11-27,76929173,dw,front_control,BOSCH,800_series,SPE68C75UC,,us,retail,homedepot,,Positive,use,Performance_Washing,"The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools. The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || [This review was collected as part of a promotion.] Dishwasher  very easy to use and installed very fast all parts and to install came with the machine only needed a few  tools. The Dishwasher very quite and cleans and drys perfectly,  recommended  this Dishwasher.",Not verified,Originally posted on bosch-home.com,5.0
25-11-27,76860731,dw,front_control,BOSCH,ascenta,SHE3AR75UC,,us,retail,homedepot,,Positive,use,Durability,We have had zero issues with this machine.,"[ Quiet and efficient! Worth the price! ] || ---------------- || We have had zero issues with this machine. It is easy to clean, runs quiet and works well!","[ Quiet and efficient!! Worth the price! ] || ---------------- || [This review was collected as part of a promotion.] We have had zero issues with this machine. It is easy to clean, runs quiet and works well!",Not verified,Originally posted on bosch-home.com,4.0
25-11-27,76860731,dw,front_control,BOSCH,ascenta,SHE3AR75UC,,us,retail,homedepot,,Positive,use,Noise_Vibration,"It is easy to clean, runs quiet and works well!","[ Quiet and efficient! Worth the price! ] || ---------------- || We have had zero issues with this machine. It is easy to clean, runs quiet and works well!","[ Quiet and efficient!! Worth the price! ] || ---------------- || [This review was collected as part of a promotion.] We have had zero issues with this machine. It is easy to clean, runs quiet and works well!",Not verified,Originally posted on bosch-home.com,4.0
25-11-27,79953443,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,Efficient and Quiet.,"[ Gives Bosch a Run For Their Money ] || ---------------- || Efficient and Quiet. Very good looking, and easy to load. Racks roll very easily.","[ Gives Bosch a Run For Their Money ] || ---------------- || [This review was collected as part of a promotion.] Efficient and Quiet.  Very good looking, and easy to load.  Racks roll very easily.",Not verified,,5.0
25-11-27,79953443,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Product_Satisfaction,Efficient and Quiet.,"[ Gives Bosch a Run For Their Money ] || ---------------- || Efficient and Quiet. Very good looking, and easy to load. Racks roll very easily.","[ Gives Bosch a Run For Their Money ] || ---------------- || [This review was collected as part of a promotion.] Efficient and Quiet.  Very good looking, and easy to load.  Racks roll very easily.",Not verified,,5.0
25-11-27,79953443,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Design,"Very good looking, and easy to load.","[ Gives Bosch a Run For Their Money ] || ---------------- || Efficient and Quiet. Very good looking, and easy to load. Racks roll very easily.","[ Gives Bosch a Run For Their Money ] || ---------------- || [This review was collected as part of a promotion.] Efficient and Quiet.  Very good looking, and easy to load.  Racks roll very easily.",Not verified,,5.0
25-11-27,79953443,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,"Very good looking, and easy to load.","[ Gives Bosch a Run For Their Money ] || ---------------- || Efficient and Quiet. Very good looking, and easy to load. Racks roll very easily.","[ Gives Bosch a Run For Their Money ] || ---------------- || [This review was collected as part of a promotion.] Efficient and Quiet.  Very good looking, and easy to load.  Racks roll very easily.",Not verified,,5.0
25-11-27,79953443,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,Racks roll very easily.,"[ Gives Bosch a Run For Their Money ] || ---------------- || Efficient and Quiet. Very good looking, and easy to load. Racks roll very easily.","[ Gives Bosch a Run For Their Money ] || ---------------- || [This review was collected as part of a promotion.] Efficient and Quiet.  Very good looking, and easy to load.  Racks roll very easily.",Not verified,,5.0
25-11-27,76863757,dw,top_control,BOSCH,4_series,SMV4EVX00E,EU,es,retail,mediamarkt_es,,Positive,use,,I'm very pleased with this dishwasher.,"[ #opinionmotivatedbypromotion ] || ---------------- || I'm very pleased with this dishwasher. It cleans everything perfectly. It's also very quiet, which is fantastic in an open-plan kitchen.","[ #opiniamotywowanapromocją ] || ---------------- || Jestem bardzo zadowolony z tej zmywarki. Domywa wszystko idealnie. Do tego jest bardzo cicha, co w otwartej kuchni jest fantastyczne.",Not verified,Originally posted on mediamarkt.pl,5.0
25-11-27,76863757,dw,top_control,BOSCH,4_series,SMV4EVX00E,EU,es,retail,mediamarkt_es,,Positive,use,Performance_Washing,It cleans everything perfectly.,"[ #opinionmotivatedbypromotion ] || ---------------- || I'm very pleased with this dishwasher. It cleans everything perfectly. It's also very quiet, which is fantastic in an open-plan kitchen.","[ #opiniamotywowanapromocją ] || ---------------- || Jestem bardzo zadowolony z tej zmywarki. Domywa wszystko idealnie. Do tego jest bardzo cicha, co w otwartej kuchni jest fantastyczne.",Not verified,Originally posted on mediamarkt.pl,5.0
25-11-27,76863757,dw,top_control,BOSCH,4_series,SMV4EVX00E,EU,es,retail,mediamarkt_es,,Very Positive,use,Noise_Vibration,"It's also very quiet, which is fantastic in an open-plan kitchen.","[ #opinionmotivatedbypromotion ] || ---------------- || I'm very pleased with this dishwasher. It cleans everything perfectly. It's also very quiet, which is fantastic in an open-plan kitchen.","[ #opiniamotywowanapromocją ] || ---------------- || Jestem bardzo zadowolony z tej zmywarki. Domywa wszystko idealnie. Do tego jest bardzo cicha, co w otwartej kuchni jest fantastyczne.",Not verified,Originally posted on mediamarkt.pl,5.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Positive,use,Performance_Washing,The KDF324SPS cleans well.,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,We like the Express setting for a quick wash.,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Neutral,use,Easy_Use,"Loading is now a challenge, experimenting where and how to place our cereal bowls.","[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Negative,use,Easy_Use,The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,We like the 3 racks .,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Neutral,use,Easy_Use,but again it is a learning experience to determine how to best use it.,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Negative,,Easy_Use,Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Neutral,,,"Likewise, we're learning where to best place the mugs.","[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,The controls are straightforward.,"[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,79937447,dw,front_control,KITCHENAID,KDFS324SBE_KDFS324SJP_KDFS324SPS,KDFS324SBE_KDFS324SJP_KDFS324SPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,"after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || The KDF324SPS cleans well. We like the Express setting for a quick wash. Loading is now a challenge, experimenting where and how to place our cereal bowls. The silverware bin is a bit awkward and we may remove the lid that holds individual utensils. We like the 3 racks . but again it is a learning experience to determine how to best use it. Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level). Likewise, we're learning where to best place the mugs. The controls are straightforward. after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.","[ Cleans Well ] || ---------------- || [This review was collected as part of a promotion.] The KDF324SPS cleans well. We like the Express setting for a quick wash.  Loading is now a challenge, experimenting where and how to place our cereal bowls.  The silverware bin is a bit awkward and we may remove the lid that holds individual utensils.We like the 3 racks ... but again it is a learning experience to determine how to best use it.  Example: ladle doesn't quite fit in the top rack (so it goes into the utensil bin on the bottom level).  Likewise, we're learning where to best place the mugs.The controls are straightforward... after having a dishwasher with top edge controls, it is a pleasant change to see the controls on the front.",Not verified,,4.0
25-11-27,80067838,dw,front_control,KITCHENAID,KDFS424SBE_KDFS424SJP_KDFS424SPS,KDFS424SBE_KDFS424SJP_KDFS424SPS,,us,retail,kitchenaid,,Neutral,use,,Have only used dishwasher 3 times since purchased.,"[ Kitchen Upgrade ] || ---------------- || Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!","[ Kitchen Upgrade ] || ---------------- || [This review was collected as part of a promotion.] Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!",Not verified,,5.0
25-11-27,80067838,dw,front_control,KITCHENAID,KDFS424SBE_KDFS424SJP_KDFS424SPS,KDFS424SBE_KDFS424SJP_KDFS424SPS,,us,retail,kitchenaid,,Neutral,replace,Delivery_Installation,It is replacing a 20 year old Frigidaire DW.,"[ Kitchen Upgrade ] || ---------------- || Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!","[ Kitchen Upgrade ] || ---------------- || [This review was collected as part of a promotion.] Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!",Not verified,,5.0
25-11-27,80067838,dw,front_control,KITCHENAID,KDFS424SBE_KDFS424SJP_KDFS424SPS,KDFS424SBE_KDFS424SJP_KDFS424SPS,,us,retail,kitchenaid,,Positive,use,Noise_Vibration,"It is very, very quite and dishes come out thoroughly clean and dry.","[ Kitchen Upgrade ] || ---------------- || Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!","[ Kitchen Upgrade ] || ---------------- || [This review was collected as part of a promotion.] Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!",Not verified,,5.0
25-11-27,80067838,dw,front_control,KITCHENAID,KDFS424SBE_KDFS424SJP_KDFS424SPS,KDFS424SBE_KDFS424SJP_KDFS424SPS,,us,retail,kitchenaid,,Positive,use,Performance_Drying,"It is very, very quite and dishes come out thoroughly clean and dry.","[ Kitchen Upgrade ] || ---------------- || Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!","[ Kitchen Upgrade ] || ---------------- || [This review was collected as part of a promotion.] Have only used dishwasher 3 times since purchased. It is replacing a 20 year old Frigidaire DW. It is very, very quite and dishes come out thoroughly clean and dry. So far, so good!",Not verified,,5.0
