Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-10-26,56154728,dw,top_control,KITCHENAID,KDPM604KPS_KDPM604KBS,KDPM604KPS_KDPM604KBS,,us,retail,costco,,Positive,use,Performance_Washing,"Cleans, dries and is quiet.","[ Product is great, installation not ] || ---------------- || Works great. Cleans, dries and is quiet. Delivery and installation on the other hand were not great. Had to pay $125 to get it installed by the people Costco sent.","[ Product is great, installation not ] || ---------------- || Works great.  Cleans, dries and is quiet.  Delivery and installation on the other hand were not great.  Had to pay $125 to get it installed by the people Costco sent.",,,5.0
23-10-26,56157438,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,Durability,"It's not the first time I trust and purchase a ""bosch"" product.","[ Great product! ] || ---------------- || It's not the first time I trust and purchase a ""bosch"" product. With each product purchased, I and my family are more and more satisfied.","[ Страхотен продукт! ] || ---------------- || Не за първи път се доверявам и закупувам продукт на ' bosch'. С всеки закупен продукт, оставам все по-доволна аз и моето семейство.",,,5.0
23-10-26,56157438,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,Service,"It's not the first time I trust and purchase a ""bosch"" product.","[ Great product! ] || ---------------- || It's not the first time I trust and purchase a ""bosch"" product. With each product purchased, I and my family are more and more satisfied.","[ Страхотен продукт! ] || ---------------- || Не за първи път се доверявам и закупувам продукт на ' bosch'. С всеки закупен продукт, оставам все по-доволна аз и моето семейство.",,,5.0
23-10-26,56157438,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,purchase,,"With each product purchased, I and my family are more and more satisfied.","[ Great product! ] || ---------------- || It's not the first time I trust and purchase a ""bosch"" product. With each product purchased, I and my family are more and more satisfied.","[ Страхотен продукт! ] || ---------------- || Не за първи път се доверявам и закупувам продукт на ' bosch'. С всеки закупен продукт, оставам все по-доволна аз и моето семейство.",,,5.0
23-10-26,56157450,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,"deliver,use",Delivery_Installation,"I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers.","[ Excellent dishwasher, I can finally program it! ] || ---------------- || I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers. I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen. In addition, B energy efficiency at a more than competitive price. Very happy.","[ Excelente lavavajillas, por fin puedo programarlo! ] || ---------------- || Hace tiempo que buscaba un lavavajillas donde pudiera programar la hora de encendido, y este producto, cumple con creces. Puedo encenderlo desde el teléfono, programa de 65º en 1 hora y un programa de 75º que nunca había visto. Además eficencia energética B a un precio más que competitivo. Muy contento.",,,5.0
23-10-26,56157450,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,Easy_Use,"I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen.","[ Excellent dishwasher, I can finally program it! ] || ---------------- || I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers. I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen. In addition, B energy efficiency at a more than competitive price. Very happy.","[ Excelente lavavajillas, por fin puedo programarlo! ] || ---------------- || Hace tiempo que buscaba un lavavajillas donde pudiera programar la hora de encendido, y este producto, cumple con creces. Puedo encenderlo desde el teléfono, programa de 65º en 1 hora y un programa de 75º que nunca había visto. Además eficencia energética B a un precio más que competitivo. Muy contento.",,,5.0
23-10-26,56157450,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,purchase,Price,"In addition, B energy efficiency at a more than competitive price.","[ Excellent dishwasher, I can finally program it! ] || ---------------- || I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers. I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen. In addition, B energy efficiency at a more than competitive price. Very happy.","[ Excelente lavavajillas, por fin puedo programarlo! ] || ---------------- || Hace tiempo que buscaba un lavavajillas donde pudiera programar la hora de encendido, y este producto, cumple con creces. Puedo encenderlo desde el teléfono, programa de 65º en 1 hora y un programa de 75º que nunca había visto. Además eficencia energética B a un precio más que competitivo. Muy contento.",,,5.0
23-10-26,56157450,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,purchase,Product_Satisfaction,"In addition, B energy efficiency at a more than competitive price.","[ Excellent dishwasher, I can finally program it! ] || ---------------- || I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers. I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen. In addition, B energy efficiency at a more than competitive price. Very happy.","[ Excelente lavavajillas, por fin puedo programarlo! ] || ---------------- || Hace tiempo que buscaba un lavavajillas donde pudiera programar la hora de encendido, y este producto, cumple con creces. Puedo encenderlo desde el teléfono, programa de 65º en 1 hora y un programa de 75º que nunca había visto. Además eficencia energética B a un precio más que competitivo. Muy contento.",,,5.0
23-10-26,56157450,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,,Very happy.,"[ Excellent dishwasher, I can finally program it! ] || ---------------- || I have been looking for a dishwasher for a long time where I could program the start time, and this product more than delivers. I can turn it on from the phone, 65º program in 1 hour and a 75º program that I have never seen. In addition, B energy efficiency at a more than competitive price. Very happy.","[ Excelente lavavajillas, por fin puedo programarlo! ] || ---------------- || Hace tiempo que buscaba un lavavajillas donde pudiera programar la hora de encendido, y este producto, cumple con creces. Puedo encenderlo desde el teléfono, programa de 65º en 1 hora y un programa de 75º que nunca había visto. Además eficencia energética B a un precio más que competitivo. Muy contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Design,The dishwasher is quiet and spacious.,"[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,The dishwasher is quiet and spacious.,"[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,"purchase,replace",Durability,I bought it replacing a Siemens that has lasted me 15 years.,"[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,Durability,I hope it lasts the same.,"[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,"It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours.","[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Price,"It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours.","[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
23-10-26,56157451,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,use,,"When finished, the door opens automatically to cool the dishes.","[ Spacious and quiet ] || ---------------- || The dishwasher is quiet and spacious. I bought it replacing a Siemens that has lasted me 15 years. I hope it lasts the same. It can be connected to the network and you can control it from your mobile phone, which is very useful to put it into operation if you have cheaper daylight hours. When finished, the door opens automatically to cool the dishes. For now happy.","[ Amplio y silencioso ] || ---------------- || El lavavajillas es silencioso y amplio. Lo compro sustituyendo un Siemens que me ha durado 15 años. Espero aguante igual . Se puede conectar a la red y tu controlarlo desde el móvil, lo cual resulta muy útil para ponerlo en funcionamiento si tienes horario luz más económico. La puerta al terminar se abre automáticamente para enfriar la vajilla. De momento contento.",,,5.0
